standort;monat;gemessene_fahrzeuge;verstoesse;gueltige_verstoesse;verwarnungen;bussgelder;weniger_11;11_15;16_20;21_25;26_30;31_40;41_50;51_60;61_70;mehr_70;max_geschwindigkeit;einnahmen;quelle
gesamt;Januar;644882;2638;2262;2223;39;1753;377;93;31;5;3;0;0;0;0;85;42435;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
gesamt;Februar;453517;1502;1307;1282;25;1019;221;42;19;3;3;0;0;0;0;83;24580;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
gesamt;Maerz;609189;1697;1413;1385;28;1097;224;64;19;7;2;1;0;0;0;87;26835;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
gesamt;April;543587;2175;1746;1722;24;1370;295;57;17;4;2;1;0;0;0;104;32200;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
gesamt;Mai;1063749;3604;2976;2926;50;2288;511;128;36;7;6;0;0;0;0;97;56115;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
gesamt;Juni;1108142;3536;2945;2897;48;2261;507;130;31;7;8;1;0;0;0;105;55800;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
gesamt;Juli;864794;2784;2345;2312;33;1805;414;93;20;7;5;0;1;0;0;118;44060;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
gesamt;August;637453;1554;1230;1218;12;1012;169;37;8;2;1;1;0;0;0;98;21900;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
gesamt;September;759995;2400;2043;1990;53;1510;376;104;26;16;10;1;0;0;0;104;41170;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
gesamt;Oktober;1240939;4756;3860;3726;134;2709;793;224;86;24;20;3;1;0;0;111;74320;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
gesamt;November;1092858;3428;2695;2427;268;520;1437;471;176;53;33;3;2;0;0;117;31575;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
gesamt;Dezember;438475;728;610;692;8;481;102;19;5;2;1;0;0;0;0;81;11190;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
gesamt;gesamt;9457520;30802;25432;24710;722;17825;5426;1462;474;137;94;10;4;0;0;118;462180;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Laube;Januar;249047;270;236;229;7;185;34;10;5;0;2;0;0;0;0;85;4695;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Laube;Februar;166101;140;118;115;3;95;14;6;2;0;1;0;0;0;0;81;2305;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Laube;Maerz;227925;97;85;85;0;69;13;3;0;0;0;0;0;0;0;69;1465;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
