standort;monat;gemessene_fahrzeuge;verstoesse;gueltige_verstoesse;verwarnungen;bussgelder;max_geschwindigkeit;einnahmen;quelle
gesamt;Januar;876835;2707;2209;2156;53;91;45540;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
gesamt;Februar;652586;2202;1726;1683;43;96;35285;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
gesamt;Maerz;668536;2137;1605;1570;35;107;31795;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
gesamt;April;430143;1952;1486;1472;14;96;27495;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
gesamt;Mai;755348;1933;1572;1507;65;92;28330;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
gesamt;Juni;664859;2302;1742;1654;88;107;33200;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
gesamt;Juli;615289;2423;1910;1816;94;118;36305;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
gesamt;August;972166;2865;2330;2213;117;94;43395;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
gesamt;September;677488;3371;3012;2910;102;100;54050;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
gesamt;Oktober;879302;3476;2955;2763;192;100;57460;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
gesamt;November;678503;2845;2367;2253;114;95;44235;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
gesamt;Dezember;561530;1958;1669;1591;78;97;30860;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Laube;Januar;75507;40;26;25;1;74;515;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Laube;Februar;104263;41;25;24;1;84;560;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Laube;Maerz;61299;17;10;10;0;65;180;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Laube;April;30744;1062;868;867;1;51;15575;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Laube;Mai;84904;945;838;812;26;51;14505;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Laube;Juni;69377;573;538;524;14;60;9455;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Laube;Juli;67253;636;571;553;18;59;9800;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Laube;August;147446;1132;954;931;23;54;16535;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Laube;September;114948;2393;2254;2184;70;80;39780;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Laube;Oktober;58387;1330;1243;1197;46;60;22365;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Laube;November;84849;1689;1544;1497;47;56;27255;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Laube;Dezember;52781;1011;958;932;26;61;16940;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Gartenstr;Januar;74926;84;53;52;1;52;880;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Gartenstr;Februar;26514;32;17;17;0;41;275;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Gartenstr;Maerz;38659;43;14;14;0;50;250;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Gartenstr;April;22616;28;8;8;0;40;120;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Gartenstr;Mai;8808;8;2;2;0;44;40;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Gartenstr;Juni;23396;29;14;13;1;68;355;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Gartenstr;Juli;39229;24;7;7;0;39;105;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Gartenstr;August;27302;25;8;8;0;40;120;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Gartenstr;September;41910;27;16;14;2;75;445;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Gartenstr;Oktober;32562;32;16;15;1;46;270;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Gartenstr;November;29450;13;3;3;0;38;45;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Gartenstr;Dezember;17890;9;5;5;0;39;75;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Steinstr;Januar;16569;78;73;72;1;46;1340;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Steinstr;Februar;48153;253;225;223;2;41;4065;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Steinstr;Maerz;37417;117;103;102;1;49;1840;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Steinstr;April;15986;89;74;72;2;47;1380;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Steinstr;Mai;6522;6;6;6;0;44;100;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Steinstr;Juni;12741;60;48;47;1;45;845;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Steinstr;Juli;42892;195;151;145;6;51;2765;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Steinstr;August;12533;67;52;49;3;66;1090;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Steinstr;September;43884;130;116;115;1;47;1900;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Steinstr;Oktober;17599;20;15;15;0;39;235;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Steinstr;November;19860;55;43;41;2;0;880;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Steinstr;Dezember;25677;84;76;72;4;0;1410;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Mainaustr;Januar;69134;102;69;69;0;69;1215;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Mainaustr;Februar;119820;242;179;173;6;88;3625;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Mainaustr;Maerz;32521;48;37;37;0;65;595;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Mainaustr;April;62139;100;55;53;2;76;1065;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Mainaustr;Mai;0;0;0;0;0;0;0;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Mainaustr;Juni;77985;51;19;19;0;62;305;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Mainaustr;Juli;113061;97;72;72;0;66;1250;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Mainaustr;August;32300;43;32;32;0;64;510;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Mainaustr;September;45621;82;67;65;2;82;1385;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Mainaustr;Oktober;65332;131;110;107;3;80;2115;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Mainaustr;November;66988;124;74;73;1;72;1265;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Mainaustr;Dezember;34756;41;32;31;1;91;725;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Loh;Januar;85893;184;159;158;1;62;2670;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Loh;Februar;83532;118;75;75;0;56;1265;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Loh;Maerz;67239;113;91;90;1;72;1670;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Loh;April;60399;105;84;83;1;58;1440;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Loh;Mai;106418;276;246;238;8;65;4240;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Loh;Juni;123408;293;237;232;5;62;3990;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Loh;Juli;54058;134;114;111;3;71;2090;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Loh;August;97784;341;294;291;3;69;5000;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Loh;September;118545;171;124;121;3;62;2135;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Loh;Oktober;66061;111;89;87;2;71;1630;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Loh;November;64117;65;41;40;1;58;665;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Loh;Dezember;20121;32;27;27;0;55;425;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Moschee;Januar;147805;889;819;798;21;66;18280;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Moschee;Februar;115811;692;596;581;15;72;13095;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Moschee;Maerz;118413;297;214;211;3;61;4385;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Moschee;April;97461;245;139;135;4;65;2785;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Moschee;Mai;76030;190;164;145;19;68;3560;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Moschee;Juni;70354;155;126;115;11;99;2580;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Moschee;Juli;179072;564;399;387;12;59;7815;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Moschee;August;47523;142;112;111;1;52;2075;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Moschee;September;0;0;0;0;0;0;0;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Moschee;Oktober;85152;251;218;194;24;72;4765;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Moschee;November;69017;120;59;54;5;86;1570;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
