standort;monat;gemessene_fahrzeuge;verstoesse;gueltige_verstoesse;verwarnungen;bussgelder;max_geschwindigkeit;einnahmen
gesamt;Januar;575.493;1,548;1,242;1,226;16;110;22,975
gesamt;Februar;529.369;1,658;1,222;1,212;10;83;21,91
gesamt;Maerz;858.258;2,482;1,936;1,916;20;116;36,095
gesamt;April;723.629;1,977;1,542;1,517;25;119;29,66
gesamt;Mai;1.033.066;3,086;2,413;2,378;35;105;44,93
gesamt;Juni;1.118.842;3,811;2,897;2,851;46;112;55,385
gesamt;Juli;974.557;3,353;2,676;2,652;24;96;48,09
gesamt;August;1.068.083;3,831;2,998;2,959;39;97;55,055
gesamt;September;857.598;3,309;2,656;2,631;25;99;48,455
gesamt;Oktober;963.553;3,574;2,852;2,816;36;109;53,13
gesamt;November;1.018.272;2,509;1,948;1,879;69;94;71,255
gesamt;Dezember;829.416;2,156;1,489;1,416;73;117;54,525
Laube;Januar;66.698;868,0;738,0;737,0;1;52;12,705
Laube;Februar;67.719;1,003;848,0;844,0;4;55;14,85
Laube;Maerz;81.663;1,054;845,0;844,0;1;56;14,36
Laube;April;72.606;912,0;692,0;688,0;4;57;12,1
Laube;Mai;147.679;1,811;1,34;1,33;10;59;23,87
Laube;Juni;83.140;1,201;936,0;930,0;6;57;16,51
Laube;Juli;114.262;1,672;1,374;1,368;6;67;23,77
Laube;August;105.552;1,653;1,408;1,399;9;63;24,795
Laube;September;131.172;1,48;1,363;1,36;3;58;23,43
Laube;Oktober;104.266;1,185;1,11;1,109;1;60;18,925
Laube;November;96.523;1,28;1,188;1,159;29;63;41,42
Laube;Dezember;78.393;878,0;653,0;634,0;19;54;22,36
Gartenstr;Januar;30.734;10,0;4,0;4,0;0;38;60,0
Gartenstr;Februar;25.804;6,0;6,0;6,0;0;39;90,0
Gartenstr;Maerz;15.594;10,0;4,0;4,0;0;47;80,0
Gartenstr;April;17.770;9,0;4,0;4,0;0;41;70,0
Gartenstr;Mai;56.864;27,0;13,0;13,0;0;42;215,0
Gartenstr;Juni;26.541;11,0;8,0;8,0;0;40;120,0
Gartenstr;Juli;34.540;28,0;9,0;9,0;0;43;165,0
Gartenstr;August;21.618;21,0;4,0;4,0;0;38;60,0
Gartenstr;September;48.407;28,0;10,0;10,0;0;42;170,0
Gartenstr;Oktober;33.402;19,0;13,0;13,0;0;41;215,0
Gartenstr;November;26.017;17,0;4,0;4,0;0;41;140,0
Gartenstr;Dezember;31.699;17,0;7,0;7,0;0;37;210,0
Steinstr;Januar;20.547;42,0;37,0;37,0;0;44;615,0
Steinstr;Februar;20.225;46,0;36,0;36,0;0;49;670,0
Steinstr;Maerz;16.901;24,0;18,0;18,0;0;47;330,0
Steinstr;April;18.514;13,0;11,0;11,0;0;49;215,0
Steinstr;Mai;0;0,0;0,0;0,0;0;0;0,0
Steinstr;Juni;22.630;50,0;42,0;42,0;0;48;730,0
Steinstr;Juli;40.912;75,0;61,0;61,0;0;44;965,0
Steinstr;August;4.772;18,0;15,0;15,0;0;40;225,0
Steinstr;September;41.707;37,0;35,0;35,0;0;46;645,0
Steinstr;Oktober;40.394;63,0;58,0;58,0;0;43;970,0
Steinstr;November;29.411;46,0;36,0;36,0;0;43;1,14
Steinstr;Dezember;22.434;46,0;39,0;39,0;0;45;1,25
Mainaustr;Januar;20.609;9,0;7,0;7,0;0;61;125,0
Mainaustr;Februar;79.713;93,0;55,0;55,0;0;69;905,0
Mainaustr;Maerz;35.427;27,0;18,0;18,0;0;65;290,0
Mainaustr;April;108.404;109,0;80,0;80,0;0;70;1,38
Mainaustr;Mai;52.526;54,0;27,0;26,0;1;71;500,0
Mainaustr;Juni;164.894;190,0;138,0;136,0;2;89;2,53
Mainaustr;Juli;0;0,0;0,0;0,0;0;0;0,0
Mainaustr;August;134.365;287,0;214,0;212,0;2;97;3,9
Mainaustr;September;44.705;102,0;77,0;77,0;0;67;1,325
Mainaustr;Oktober;58.953;125,0;105,0;105,0;0;69;1,735
